,course link,image_link,course_name,organistaion_name,Registration,time_left,hashtags,fee
68,https://unstop.com//internship/uiux-internship-idfy-360075,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62a8a4bca1994_uiux-internship.png?d=340x195, UI/UX Internship , IDfy , 16  days left , 16  days left ,[' #Internships  #Graduate  #Postgraduate '],0
69,https://unstop.com//workshop/consulting-bootcamp-seekamentor-360054,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655225626.png?d=340x195, Consulting Bootcamp , Seekamentor , 5  days left , 5  days left ,[' #Conferences  #Open to All '],0
70,https://unstop.com//job/testing-engineer-mechanical-gilbarco-veeder-root-360043,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655293940.png?d=340x195, Testing Engineer - Mechanical , Gilbarco Veeder-Root , 1 day left , 1 day left ,[' #Jobs  #Corporate '],0
71,https://unstop.com//competition/mnanalyse-2022-premier-merger-acquisition-case-competition-indian-institute-of-technology-iit-guwahati-360042,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62a8f5d98f187_mnanalyse.png?d=340x195, MnAnalyse 2022: Premier Merger & Acquisition Case Competition ," Indian Institute of Technology (IIT), Guwahati ", 8  days left , 8  days left ,[' #competitions  #Open to All '],0
72,https://unstop.com//creative-cultural-event/call-for-hr-articles-for-impressions-june-2022-indian-institute-of-management-iim-rohtak-360031,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655207279.png?d=340x195, Call for HR Articles for Impressions | June 2022 ," Indian Institute of Management (IIM), Rohtak ", 6  days left , 6  days left ,[' #cultural  #Open to All '],300
73,https://unstop.com//workshop/capstone-experience-design-caped-program-stanford-university-360028,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655207434.png?d=340x195, Capstone Experience Design (CapED) Program , Stanford University , 4  days left , 4  days left ,[' #Conferences  #Open to All '],0
74,https://unstop.com//workshop/individual-financial-counseling-with-fidelity-investments-stanford-university-360025,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655206038.png?d=340x195, Individual Financial Counseling with Fidelity Investments , Stanford University , 1 day left , 1 day left ,[' #Conferences  #Open to All '],0
75,https://unstop.com//competition/yoga-challenge-indian-institute-of-technology-iit-indore-360012,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655210468.png?d=340x195, Yoga Challenge ," Indian Institute of Technology (IIT), Indore ", 21 hours left , 21 hours left ,[' #cultural  #Engineering Students  #MBA Students  #Undergraduate  #Corporate '],0
76,https://unstop.com//internship/influencer-manager-internship-the-indegenous-360011,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655226464.png?d=340x195, Influencer Manager Internship , The Indegenous , 6  days left , 6  days left ,[' #Internships  #Open to All '],0
77,https://unstop.com//competition/drawdown-a-private-equity-competition-vista-2022-iim-bangalores-international-business-summit-indian-institu-359999,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62ac84ff35bee_drawdown-a-private-equity-competition.png?d=340x195, Drawdown: A Private Equity Competition  - Vista 2022 IIM Bangalore's International Business Summit ," Indian Institute of Management (IIM), Bangalore ", 18  days left , 18  days left ,[' #competitions  #Open to All '],"50,000"
78,https://unstop.com//job/key-account-manager-supply-chain-loadit-supply-services-pvt-ltd-359974,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655191398.png?d=340x195, Key Account Manager - Supply Chain , Loadit Supply Services Pvt Ltd , 1 day left , 1 day left ,[' #Jobs  #Open to All ']," 4,00,000 "
79,https://unstop.com//job/graphic-designer-nbyula-359954,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655189483.png?d=340x195, Graphic Designer , Nbyula , 10  days left , 10  days left ,[' #Jobs  #Open to All '],0
80,https://unstop.com//job/digital-media-marketer-nbyula-359952,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655189732.png?d=340x195, Digital Media Marketer , Nbyula , 1 day left , 1 day left ,[' #Jobs  #Engineering Students  #MBA Students  #Undergraduate  #Corporate '],0
